file_path,line_no,function_name,return_type,parameter_types,full_signature
include/AbilityKit/ability_runtime/start_options.h,109,OH_AbilityRuntime_SetStartOptionsDisplayId,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t displayId","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsDisplayId(AbilityRuntime_StartOptions *,int32_t)"
include/AbilityKit/ability_runtime/start_options.h,460,OH_AbilityRuntime_SetStartOptionsMaxWindowHeight,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t maxWindowHeight","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsMaxWindowHeight(AbilityRuntime_StartOptions *,int32_t)"
include/AbilityKit/ability_runtime/start_options.h,408,OH_AbilityRuntime_SetStartOptionsMaxWindowWidth,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t maxWindowWidth","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsMaxWindowWidth(AbilityRuntime_StartOptions *,int32_t)"
include/AbilityKit/ability_runtime/start_options.h,434,OH_AbilityRuntime_SetStartOptionsMinWindowHeight,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t minWindowHeight","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsMinWindowHeight(AbilityRuntime_StartOptions *,int32_t)"
include/AbilityKit/ability_runtime/start_options.h,382,OH_AbilityRuntime_SetStartOptionsMinWindowWidth,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t minWindowWidth","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsMinWindowWidth(AbilityRuntime_StartOptions *,int32_t)"
include/AbilityKit/ability_runtime/start_options.h,265,OH_AbilityRuntime_SetStartOptionsStartVisibility,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,AbilityRuntime_StartVisibility startVisibility","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsStartVisibility(AbilityRuntime_StartOptions *,AbilityRuntime_StartVisibility)"
include/AbilityKit/ability_runtime/start_options.h,320,OH_AbilityRuntime_SetStartOptionsStartWindowBackgroundColor,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,const char * startWindowBackgroundColor","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsStartWindowBackgroundColor(AbilityRuntime_StartOptions *,const char *)"
include/AbilityKit/ability_runtime/start_options.h,292,OH_AbilityRuntime_SetStartOptionsStartWindowIcon,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,OH_PixelmapNative * startWindowIcon","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsStartWindowIcon(AbilityRuntime_StartOptions *,OH_PixelmapNative *)"
include/AbilityKit/ability_runtime/start_options.h,351,OH_AbilityRuntime_SetStartOptionsSupportedWindowModes,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,AbilityRuntime_SupportedWindowMode * supportedWindowModes,size_t size","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsSupportedWindowModes(AbilityRuntime_StartOptions *,AbilityRuntime_SupportedWindowMode *,size_t)"
include/AbilityKit/ability_runtime/start_options.h,213,OH_AbilityRuntime_SetStartOptionsWindowHeight,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t windowHeight","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsWindowHeight(AbilityRuntime_StartOptions *,int32_t)"
include/AbilityKit/ability_runtime/start_options.h,161,OH_AbilityRuntime_SetStartOptionsWindowLeft,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t windowLeft","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsWindowLeft(AbilityRuntime_StartOptions *,int32_t)"
include/AbilityKit/ability_runtime/start_options.h,83,OH_AbilityRuntime_SetStartOptionsWindowMode,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,AbilityRuntime_WindowMode windowMode","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsWindowMode(AbilityRuntime_StartOptions *,AbilityRuntime_WindowMode)"
