source_package,declaration,status,target_package,target_declaration
platform.basic,ARKUI_BLEND_MODE_EXCLUSION,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_HARD_LIGHT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_HUE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_LIGHTEN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_LUMINOSITY,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_MODULATE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_MULTIPLY,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_NONE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_OVERLAY,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_PLUS,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_SATURATION,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_SCREEN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_SOFT_LIGHT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_SRC,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_SRC_ATOP,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_SRC_IN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_SRC_OUT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_SRC_OVER,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_XOR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_BACKGROUND_REGULAR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_BACKGROUND_THICK,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_BACKGROUND_THIN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_BACKGROUND_ULTRA_THICK,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_COMPONENT_REGULAR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_COMPONENT_THICK,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_COMPONENT_THIN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_COMPONENT_ULTRA_THICK,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_COMPONENT_ULTRA_THIN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_NONE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_REGULAR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_THICK,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLUR_STYLE_THIN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BORDER_STYLE_DASHED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BORDER_STYLE_DOTTED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BORDER_STYLE_SOLID,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BUTTON_TYPE_CAPSULE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BUTTON_TYPE_CIRCLE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BUTTON_TYPE_NORMAL,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CALENDAR_ALIGNMENT_CENTER,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CALENDAR_ALIGNMENT_END,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CALENDAR_ALIGNMENT_START,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CANCELBUTTON_STYLE_CONSTANT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CANCELBUTTON_STYLE_INPUT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CANCELBUTTON_STYLE_INVISIBLE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CLIP_TYPE_CIRCLE,mapped,platform.ArkUI.ArkUI_NativeModule,
