file_path,line_no,function_name,return_type,parameter_types,full_signature
BasicServicesKit/oh_commonevent.h,169,OH_CommonEvent_DestroySubscriber,void,CommonEvent_Subscriber * subscriber,void OH_CommonEvent_DestroySubscriber(CommonEvent_Subscriber *)
BasicServicesKit/oh_commonevent.h,318,OH_CommonEvent_GetBoolArrayFromParameters,int32_t,"const CommonEvent_Parameters * para,const char * key,bool ** array","int32_t OH_CommonEvent_GetBoolArrayFromParameters(const CommonEvent_Parameters *,const char *,bool **)"
BasicServicesKit/oh_commonevent.h,307,OH_CommonEvent_GetBoolFromParameters,bool,"const CommonEvent_Parameters * para,const char * key,const bool defaultValue","bool OH_CommonEvent_GetBoolFromParameters(const CommonEvent_Parameters *,const char *,const bool)"
BasicServicesKit/oh_commonevent.h,233,OH_CommonEvent_GetBundleNameFromRcvData,const char *,const CommonEvent_RcvData * rcvData,const char * OH_CommonEvent_GetBundleNameFromRcvData(const CommonEvent_RcvData *)
BasicServicesKit/oh_commonevent.h,340,OH_CommonEvent_GetCharArrayFromParameters,int32_t,"const CommonEvent_Parameters * para,const char * key,char ** array","int32_t OH_CommonEvent_GetCharArrayFromParameters(const CommonEvent_Parameters *,const char *,char **)"
BasicServicesKit/oh_commonevent.h,329,OH_CommonEvent_GetCharFromParameters,char,"const CommonEvent_Parameters * para,const char * key,const char defaultValue","char OH_CommonEvent_GetCharFromParameters(const CommonEvent_Parameters *,const char *,const char)"
BasicServicesKit/oh_commonevent.h,215,OH_CommonEvent_GetCodeFromRcvData,int32_t,const CommonEvent_RcvData * rcvData,int32_t OH_CommonEvent_GetCodeFromRcvData(const CommonEvent_RcvData *)
BasicServicesKit/oh_commonevent.h,224,OH_CommonEvent_GetDataStrFromRcvData,const char *,const CommonEvent_RcvData * rcvData,const char * OH_CommonEvent_GetDataStrFromRcvData(const CommonEvent_RcvData *)
BasicServicesKit/oh_commonevent.h,363,OH_CommonEvent_GetDoubleArrayFromParameters,int32_t,"const CommonEvent_Parameters * para,const char * key,double ** array","int32_t OH_CommonEvent_GetDoubleArrayFromParameters(const CommonEvent_Parameters *,const char *,double **)"
BasicServicesKit/oh_commonevent.h,351,OH_CommonEvent_GetDoubleFromParameters,double,"const CommonEvent_Parameters * para,const char * key,const double defaultValue","double OH_CommonEvent_GetDoubleFromParameters(const CommonEvent_Parameters *,const char *,const double)"
BasicServicesKit/oh_commonevent.h,206,OH_CommonEvent_GetEventFromRcvData,const char *,const CommonEvent_RcvData * rcvData,const char * OH_CommonEvent_GetEventFromRcvData(const CommonEvent_RcvData *)
BasicServicesKit/oh_commonevent.h,274,OH_CommonEvent_GetIntArrayFromParameters,int32_t,"const CommonEvent_Parameters * para,const char * key,int ** array","int32_t OH_CommonEvent_GetIntArrayFromParameters(const CommonEvent_Parameters *,const char *,int **)"
BasicServicesKit/oh_commonevent.h,263,OH_CommonEvent_GetIntFromParameters,int,"const CommonEvent_Parameters * para,const char * key,const int defaultValue","int OH_CommonEvent_GetIntFromParameters(const CommonEvent_Parameters *,const char *,const int)"
BasicServicesKit/oh_commonevent.h,296,OH_CommonEvent_GetLongArrayFromParameters,int32_t,"const CommonEvent_Parameters * para,const char * key,long ** array","int32_t OH_CommonEvent_GetLongArrayFromParameters(const CommonEvent_Parameters *,const char *,long **)"
BasicServicesKit/oh_commonevent.h,285,OH_CommonEvent_GetLongFromParameters,long,"const CommonEvent_Parameters * para,const char * key,const long defaultValue","long OH_CommonEvent_GetLongFromParameters(const CommonEvent_Parameters *,const char *,const long)"
BasicServicesKit/oh_commonevent.h,242,OH_CommonEvent_GetParametersFromRcvData,const CommonEvent_Parameters *,const CommonEvent_RcvData * rcvData,const CommonEvent_Parameters * OH_CommonEvent_GetParametersFromRcvData(const CommonEvent_RcvData *)
BasicServicesKit/oh_commonevent.h,252,OH_CommonEvent_HasKeyInParameters,bool,"const CommonEvent_Parameters * para,const char * key","bool OH_CommonEvent_HasKeyInParameters(const CommonEvent_Parameters *,const char *)"
BasicServicesKit/oh_commonevent.h,142,OH_CommonEvent_SetPublisherBundleName,CommonEvent_ErrCode,"CommonEvent_SubscribeInfo * info,const char * bundleName","CommonEvent_ErrCode OH_CommonEvent_SetPublisherBundleName(CommonEvent_SubscribeInfo *,const char *)"
BasicServicesKit/oh_commonevent.h,130,OH_CommonEvent_SetPublisherPermission,CommonEvent_ErrCode,"CommonEvent_SubscribeInfo * info,const char * permission","CommonEvent_ErrCode OH_CommonEvent_SetPublisherPermission(CommonEvent_SubscribeInfo *,const char *)"
BasicServicesKit/oh_commonevent.h,184,OH_CommonEvent_Subscribe,CommonEvent_ErrCode,const CommonEvent_Subscriber * subscriber,CommonEvent_ErrCode OH_CommonEvent_Subscribe(const CommonEvent_Subscriber *)
BasicServicesKit/oh_commonevent.h,197,OH_CommonEvent_UnSubscribe,CommonEvent_ErrCode,const CommonEvent_Subscriber * subscriber,CommonEvent_ErrCode OH_CommonEvent_UnSubscribe(const CommonEvent_Subscriber *)
BasicServicesKit/ohbattery_info.h,106,OH_BatteryInfo_GetCapacity,int32_t,void,int32_t OH_BatteryInfo_GetCapacity(void)
BasicServicesKit/ohbattery_info.h,119,OH_BatteryInfo_GetPluggedType,BatteryInfo_BatteryPluggedType,void,BatteryInfo_BatteryPluggedType OH_BatteryInfo_GetPluggedType(void)
BasicServicesKit/ohprint.h,620,OH_Print_ConnectPrinter,Print_ErrorCode,const char * printerId,Print_ErrorCode OH_Print_ConnectPrinter(const char *)
BasicServicesKit/ohprint.h,567,OH_Print_Init,Print_ErrorCode,void,Print_ErrorCode OH_Print_Init(void)
BasicServicesKit/ohprint.h,717,OH_Print_LaunchPrinterManager,Print_ErrorCode,void,Print_ErrorCode OH_Print_LaunchPrinterManager(void)
BasicServicesKit/ohprint.h,698,OH_Print_QueryPrinterInfo,Print_ErrorCode,"const char * printerId,Print_PrinterInfo ** printerInfo","Print_ErrorCode OH_Print_QueryPrinterInfo(const char *,Print_PrinterInfo **)"
BasicServicesKit/ohprint.h,673,OH_Print_QueryPrinterList,Print_ErrorCode,Print_StringList * printerIdList,Print_ErrorCode OH_Print_QueryPrinterList(Print_StringList *)
BasicServicesKit/ohprint.h,734,OH_Print_QueryPrinterProperties,Print_ErrorCode,"const char * printerId,const Print_StringList * propertyKeyList,Print_PropertyList * propertyList","Print_ErrorCode OH_Print_QueryPrinterProperties(const char *,const Print_StringList *,Print_PropertyList *)"
BasicServicesKit/ohprint.h,649,OH_Print_RegisterPrinterChangeListener,Print_ErrorCode,Print_PrinterChangeCallback callback,Print_ErrorCode OH_Print_RegisterPrinterChangeListener(Print_PrinterChangeCallback)
BasicServicesKit/ohprint.h,578,OH_Print_Release,Print_ErrorCode,void,Print_ErrorCode OH_Print_Release(void)
BasicServicesKit/ohprint.h,707,OH_Print_ReleasePrinterInfo,void,Print_PrinterInfo * printerInfo,void OH_Print_ReleasePrinterInfo(Print_PrinterInfo *)
BasicServicesKit/ohprint.h,682,OH_Print_ReleasePrinterList,void,Print_StringList * printerIdList,void OH_Print_ReleasePrinterList(Print_StringList *)
BasicServicesKit/ohprint.h,744,OH_Print_ReleasePrinterProperties,void,Print_PropertyList * propertyList,void OH_Print_ReleasePrinterProperties(Print_PropertyList *)
BasicServicesKit/ohprint.h,772,OH_Print_RestorePrinterProperties,Print_ErrorCode,"const char * printerId,const Print_StringList * propertyKeyList","Print_ErrorCode OH_Print_RestorePrinterProperties(const char *,const Print_StringList *)"
BasicServicesKit/ohprint.h,787,OH_Print_StartPrintByNative,Print_ErrorCode,"const char * printJobName,Print_PrintDocCallback printDocCallback,void * context","Print_ErrorCode OH_Print_StartPrintByNative(const char *,Print_PrintDocCallback,void *)"
BasicServicesKit/ohprint.h,636,OH_Print_StartPrintJob,Print_ErrorCode,const Print_PrintJob * printJob,Print_ErrorCode OH_Print_StartPrintJob(const Print_PrintJob *)
BasicServicesKit/ohprint.h,593,OH_Print_StartPrinterDiscovery,Print_ErrorCode,Print_PrinterDiscoveryCallback callback,Print_ErrorCode OH_Print_StartPrinterDiscovery(Print_PrinterDiscoveryCallback)
BasicServicesKit/ohprint.h,605,OH_Print_StopPrinterDiscovery,Print_ErrorCode,void,Print_ErrorCode OH_Print_StopPrinterDiscovery(void)
BasicServicesKit/ohprint.h,658,OH_Print_UnregisterPrinterChangeListener,void,void,void OH_Print_UnregisterPrinterChangeListener(void)
BasicServicesKit/ohprint.h,758,OH_Print_UpdatePrinterProperties,Print_ErrorCode,"const char * printerId,const Print_PropertyList * propertyList","Print_ErrorCode OH_Print_UpdatePrinterProperties(const char *,const Print_PropertyList *)"
BasicServicesKit/ohscan.h,283,OH_Scan_CancelScan,int32_t,const char * scannerId,int32_t OH_Scan_CancelScan(const char *)
BasicServicesKit/ohscan.h,207,OH_Scan_CloseScanner,int32_t,const char * scannerId,int32_t OH_Scan_CloseScanner(const char *)
BasicServicesKit/ohscan.h,320,OH_Scan_Exit,int32_t,void,int32_t OH_Scan_Exit(void)
BasicServicesKit/ohscan.h,306,OH_Scan_GetPictureScanProgress,int32_t,"const char * scannerId,Scan_PictureScanProgress * prog","int32_t OH_Scan_GetPictureScanProgress(const char *,Scan_PictureScanProgress *)"
BasicServicesKit/ohscan.h,226,OH_Scan_GetScannerParameter,Scan_ScannerOptions *,"const char * scannerId,int32_t * errorCode","Scan_ScannerOptions * OH_Scan_GetScannerParameter(const char *,int32_t *)"
BasicServicesKit/ohscan.h,160,OH_Scan_Init,int32_t,void,int32_t OH_Scan_Init(void)
BasicServicesKit/ohscan.h,192,OH_Scan_OpenScanner,int32_t,const char * scannerId,int32_t OH_Scan_OpenScanner(const char *)
BasicServicesKit/ohscan.h,246,OH_Scan_SetScannerParameter,int32_t,"const char * scannerId,const int32_t option,const char * value","int32_t OH_Scan_SetScannerParameter(const char *,const int32_t,const char *)"
BasicServicesKit/ohscan.h,268,OH_Scan_StartScan,int32_t,"const char * scannerId,bool batchMode","int32_t OH_Scan_StartScan(const char *,bool)"
